Invoice Number,Date Sale,Time Sale,Product,Quantity,Unit Price,Total Sale,Payment Method,Seller,Discounts,Taxes,Notes,Remaining Stock,Category_Cigarettes,Category_Drinks,Category_Others,Category_Candies
1477-791,2024-07-08,20:39:04.548193,Chocolate,11,6.53,71.83,Credit Card,Seller D,19.98,11.49,Note 3,70,0.0,0.0,0.0,0
5935-320,2024-08-27,20:39:04.548193,Beer,4,15.57,62.28,PayPal,Seller A,16.34,9.96,Note 2,87,0.0,1.0,0.0,0
2017-502,2024-08-28,20:39:04.548193,Soda,19,14.56,276.64,Bank Transfer,Seller B,38.12,44.26,Note 1,69,0.0,1.0,0.0,0
7725-499,2024-07-03,20:39:04.548193,Toilet Paper,20,3.86,77.2,PayPal,Seller C,21.2,12.35,Note 4,3,0.0,0.0,1.0,0
4981-443,2024-07-30,20:39:04.563817,Lucky Strike,13,11.0,143.0,Bank Transfer,Seller A,59.02,35.67,Note 1,77,1.0,0.0,0.0,0
2416-561,2024-08-03,20:39:04.563817,Cookies,7,9.66,67.62,PayPal,Seller D,12.04,10.82,Note 3,70,0.0,0.0,0.0,0
5347-698,2024-08-20,20:39:04.563817,Soda,7,13.18,92.26,Cash,Seller C,25.77,14.76,Note 2,76,0.0,1.0,0.0,0
2468-502,2024-07-01,20:39:04.563817,Toilet Paper,10,14.63,146.3,Bank Transfer,Seller B,20.04,23.41,Note 3,2,0.0,0.0,1.0,0
7911-697,2024-08-01,20:39:04.563817,Cookies,17,12.26,208.42,Bank Transfer,Seller B,61.4,33.35,Note 1,16,0.0,0.0,0.0,0
5065-330,2024-08-19,20:39:04.563817,Chocolate,6,2.2,13.2,Cash,Seller A,1.33,2.11,Note 3,41,0.0,0.0,0.0,0
7893-696,2024-08-17,20:39:04.563817,Chocolate,16,17.62,281.92,Cash,Seller C,18.7,45.11,Note 1,10,0.0,0.0,0.0,0
3261-241,2024-07-13,20:39:04.563817,Chewing gums,9,17.56,158.04,Credit Card,Seller B,1.92,25.29,Note 3,71,0.0,0.0,0.0,0
8893-525,2024-08-30,20:39:04.563817,Beer,4,16.69,66.76,Credit Card,Seller B,9.78,10.68,Note 4,100,0.0,1.0,0.0,0
2593-406,2024-07-17,20:39:04.563817,Marlboro,4,13.0,52.0,Cash,Seller B,11.73,7.24,Note 3,11,1.0,0.0,0.0,0
8307-558,2024-08-01,20:39:04.579442,Water,8,2.15,17.2,Bank Transfer,Seller C,4.99,2.75,Note 4,32,0.0,1.0,0.0,0
9397-392,2024-08-24,20:39:04.579442,Cigarette Lighter,9,12.0,108.0,Credit Card,Seller B,3.8,5.63,Note 4,8,0.0,0.0,1.0,0
5758-914,2024-08-21,20:39:04.579442,Juice,15,16.37,245.55,Credit Card,Seller C,69.37,39.29,Note 2,87,0.0,1.0,0.0,0
1255-267,2024-07-19,20:39:04.579442,Water,1,18.66,18.66,Cash,Seller C,3.09,2.99,Note 3,93,0.0,1.0,0.0,0
8670-262,2024-07-02,20:39:04.579442,Chocolate,6,15.6,93.6,Credit Card,Seller B,1.35,14.98,Note 2,52,0.0,0.0,0.0,0
1488-988,2024-07-05,20:39:04.579442,Chocolate,11,10.19,112.09,Cash,Seller D,32.12,17.93,Note 3,56,0.0,0.0,0.0,0
2990-198,2024-07-22,20:39:04.579442,Magazine,18,14.66,263.88,Cash,Seller D,15.89,42.22,Note 4,31,0.0,0.0,1.0,0
8353-164,2024-07-07,20:39:04.579442,Juice,1,12.1,12.1,PayPal,Seller D,2.26,1.94,Note 2,6,0.0,1.0,0.0,0
1672-555,2024-08-01,20:39:04.579442,Chocolate,4,16.22,64.88,PayPal,Seller D,13.6,10.38,Note 2,79,0.0,0.0,0.0,0
5257-808,2024-08-11,20:39:04.595070,Chocolate,1,8.5,8.5,Cash,Seller D,1.53,1.36,Note 4,78,0.0,0.0,0.0,0
5211-762,2024-07-18,20:39:04.595070,Water,15,9.69,145.35,Credit Card,Seller C,32.2,23.26,Note 3,7,0.0,1.0,0.0,0
6505-338,2024-08-28,20:39:04.595070,Water,3,2.39,7.17,Cash,Seller A,0.32,1.15,Note 1,65,0.0,1.0,0.0,0
5332-477,2024-07-17,20:39:04.595070,Cigarette Lighter,5,12.0,60.0,PayPal,Seller B,13.13,8.51,Note 2,68,0.0,0.0,1.0,0
1782-781,2024-08-17,20:39:04.595070,Cigarette Lighter,6,12.0,72.0,Credit Card,Seller B,4.79,12.92,Note 2,84,0.0,0.0,1.0,0
3494-499,2024-08-09,20:39:04.595070,Candies,15,19.6,294.0,Credit Card,Seller D,45.29,47.04,Note 3,75,0.0,0.0,0.0,0
8983-820,2024-08-24,20:39:04.595070,Cigarette Lighter,11,12.0,132.0,Cash,Seller A,13.22,21.86,Note 1,63,0.0,0.0,1.0,0
3731-504,2024-07-09,20:39:04.595070,Juice,12,8.57,102.84,Bank Transfer,Seller B,28.02,16.45,Note 1,91,0.0,1.0,0.0,0
7143-477,2024-08-28,20:39:04.595070,Lucky Strike,19,11.0,209.0,Cash,Seller A,18.79,10.76,Note 3,64,1.0,0.0,0.0,0
4593-164,2024-08-04,20:39:04.610693,Juice,3,18.79,56.37,Credit Card,Seller D,8.67,9.02,Note 2,1,0.0,1.0,0.0,0
7706-341,2024-08-01,20:39:04.610693,Camel,19,17.0,323.0,Bank Transfer,Seller A,4.62,3.4,Note 3,65,1.0,0.0,0.0,0
6104-629,2024-08-06,20:39:04.610693,Magazine,18,8.45,152.1,Cash,Seller B,0.02,24.34,Note 3,38,0.0,0.0,1.0,0
6994-443,2024-08-10,20:39:04.610693,Camel,6,17.0,102.0,Cash,Seller D,0.26,9.78,Note 1,3,1.0,0.0,0.0,0
9912-684,2024-08-07,20:39:04.610693,Cookies,9,17.13,154.17,Credit Card,Seller A,33.51,24.67,Note 3,92,0.0,0.0,0.0,0
4613-165,2024-08-07,20:39:04.610693,Juice,8,8.02,64.16,Cash,Seller A,3.95,10.27,Note 1,47,0.0,1.0,0.0,0
8354-962,2024-07-03,20:39:04.610693,Camel,3,17.0,51.0,Bank Transfer,Seller D,1.96,8.0,Note 2,64,1.0,0.0,0.0,0
9534-754,2024-07-20,20:39:04.610693,Chocolate,8,9.57,76.56,Bank Transfer,Seller B,0.63,12.25,Note 4,21,0.0,0.0,0.0,0
6321-452,2024-08-03,20:39:04.610693,Magazine,5,16.67,83.35,Cash,Seller A,14.15,13.34,Note 1,88,0.0,0.0,1.0,0
5181-498,2024-07-26,20:39:04.626313,Soda,9,11.46,103.14,Bank Transfer,Seller A,20.86,16.5,Note 4,89,0.0,1.0,0.0,0
2568-639,2024-08-17,20:39:04.626313,Marlboro,19,13.0,247.0,Cash,Seller D,31.29,22.92,Note 4,66,1.0,0.0,0.0,0
4799-605,2024-07-23,20:39:04.626313,Beer,8,10.81,86.48,Bank Transfer,Seller A,6.46,13.84,Note 2,98,0.0,1.0,0.0,0
6903-545,2024-08-16,20:39:04.626313,Cookies,9,8.85,79.65,Bank Transfer,Seller B,7.89,12.74,Note 2,56,0.0,0.0,0.0,0
4760-471,2024-08-26,20:39:04.626313,Toilet Paper,20,14.82,296.4,Credit Card,Seller C,56.52,47.42,Note 1,22,0.0,0.0,1.0,0
8016-230,2024-08-08,20:39:04.626313,Marlboro,14,13.0,182.0,Credit Card,Seller B,4.69,31.99,Note 3,57,1.0,0.0,0.0,0
2252-997,2024-07-31,20:39:04.626313,Soda,1,4.22,4.22,Bank Transfer,Seller D,0.89,0.68,Note 4,74,0.0,1.0,0.0,0
1705-572,2024-08-28,20:39:04.626313,Cookies,1,19.08,19.08,Credit Card,Seller A,0.91,3.05,Note 4,61,0.0,0.0,0.0,0
2041-623,2024-07-05,20:39:04.626313,Chocolate,7,10.24,71.68,PayPal,Seller C,10.01,11.47,Note 2,80,0.0,0.0,0.0,0
6430-669,2024-08-15,20:39:04.641937,Magazine,5,7.82,39.1,Credit Card,Seller D,5.76,6.26,Note 4,29,0.0,0.0,1.0,0
4645-280,2024-08-29,20:39:04.641937,Lucky Strike,16,11.0,176.0,PayPal,Seller B,4.45,9.11,Note 2,87,1.0,0.0,0.0,0
2940-803,2024-07-10,20:39:04.641937,Candies,6,6.05,36.3,Cash,Seller B,4.91,5.81,Note 1,37,0.0,0.0,0.0,0
8516-539,2024-07-30,20:39:04.641937,Water,2,19.3,38.6,Bank Transfer,Seller B,7.33,6.18,Note 1,9,0.0,1.0,0.0,0
9549-594,2024-07-27,20:39:04.641937,Lucky Strike,7,11.0,77.0,PayPal,Seller A,10.93,7.04,Note 2,3,1.0,0.0,0.0,0
6005-989,2024-07-22,20:39:04.641937,Lucky Strike,19,11.0,209.0,Cash,Seller A,8.12,14.74,Note 2,18,1.0,0.0,0.0,0
9768-833,2024-08-13,20:39:04.641937,Candies,15,1.47,22.05,Bank Transfer,Seller B,1.77,3.53,Note 3,56,0.0,0.0,0.0,0
1042-220,2024-07-15,20:39:04.641937,Marlboro,13,13.0,169.0,Credit Card,Seller D,4.88,22.73,Note 3,8,1.0,0.0,0.0,0
2971-189,2024-07-09,20:39:04.641937,Chocolate,2,8.08,16.16,PayPal,Seller B,4.72,2.59,Note 2,13,0.0,0.0,0.0,0
1294-925,2024-07-20,20:39:04.657567,Marlboro,20,13.0,260.0,Credit Card,Seller A,5.74,36.8,Note 3,80,1.0,0.0,0.0,0
2803-690,2024-08-30,20:39:04.657567,Lucky Strike,3,11.0,33.0,Bank Transfer,Seller C,0.24,0.75,Note 2,40,1.0,0.0,0.0,0
1553-133,2024-07-12,20:39:04.657567,Magazine,8,8.29,66.32,Cash,Seller C,0.16,10.61,Note 4,19,0.0,0.0,1.0,0
7105-933,2024-07-25,20:39:04.657567,Chocolate,16,15.57,249.12,PayPal,Seller D,18.41,39.86,Note 1,15,0.0,0.0,0.0,0
2475-602,2024-07-17,20:39:04.657567,Candies,13,18.1,235.3,Bank Transfer,Seller A,34.98,37.65,Note 4,98,0.0,0.0,0.0,0
9269-289,2024-07-23,20:39:04.657567,Chewing gums,11,10.47,115.17,Credit Card,Seller A,18.16,18.43,Note 4,92,0.0,0.0,0.0,0
3736-131,2024-07-21,20:39:04.657567,Lucky Strike,10,11.0,110.0,Credit Card,Seller B,11.84,30.98,Note 1,72,1.0,0.0,0.0,0
4765-352,2024-08-29,20:39:04.657567,Candies,19,6.1,115.9,Cash,Seller B,25.98,18.54,Note 2,88,0.0,0.0,0.0,0
1701-818,2024-08-07,20:39:04.657567,Lucky Strike,19,11.0,209.0,Bank Transfer,Seller C,1.81,10.76,Note 4,60,1.0,0.0,0.0,0
7557-182,2024-08-27,20:39:04.673192,Chocolate,4,15.43,61.72,Credit Card,Seller D,15.86,9.88,Note 1,60,0.0,0.0,0.0,0
6813-316,2024-08-10,20:39:04.673192,Cookies,13,11.66,151.58,Cash,Seller A,13.51,24.25,Note 2,86,0.0,0.0,0.0,0
4622-712,2024-08-08,20:39:04.673192,Marlboro,18,13.0,234.0,Bank Transfer,Seller B,30.46,35.28,Note 2,98,1.0,0.0,0.0,0
4835-448,2024-08-02,20:39:04.673192,Lucky Strike,14,11.0,154.0,Bank Transfer,Seller C,6.46,3.58,Note 2,20,1.0,0.0,0.0,0
1192-183,2024-07-23,20:39:04.673192,Magazine,9,7.82,70.38,Bank Transfer,Seller A,11.93,11.26,Note 3,39,0.0,0.0,1.0,0
4254-819,2024-08-16,20:39:04.673192,Chocolate,7,9.48,66.36,Bank Transfer,Seller C,8.0,10.62,Note 3,86,0.0,0.0,0.0,0
8616-290,2024-08-14,20:39:04.673192,Soda,8,2.84,22.72,PayPal,Seller B,1.0,3.64,Note 3,85,0.0,1.0,0.0,0
5529-235,2024-07-20,20:39:04.673192,Chocolate,5,15.57,77.85,Cash,Seller D,11.08,12.46,Note 3,99,0.0,0.0,0.0,0
5331-313,2024-07-08,20:39:04.673192,Marlboro,11,13.0,143.0,Cash,Seller B,38.95,33.7,Note 4,16,1.0,0.0,0.0,0
6391-454,2024-07-16,20:39:04.688817,Chewing gums,19,19.57,371.83,Bank Transfer,Seller C,46.4,59.49,Note 1,50,0.0,0.0,0.0,0
1796-775,2024-07-26,20:39:04.688817,Chocolate,2,8.29,16.58,PayPal,Seller A,1.29,2.65,Note 1,34,0.0,0.0,0.0,0
6671-972,2024-07-01,20:39:04.688817,Chewing gums,16,2.98,47.68,Cash,Seller C,1.49,7.63,Note 2,79,0.0,0.0,0.0,0
8607-462,2024-07-25,20:39:04.688817,Cookies,6,14.39,86.34,Credit Card,Seller A,13.77,13.81,Note 4,58,0.0,0.0,0.0,0
7266-518,2024-07-08,20:39:04.688817,Magazine,7,19.69,137.83,Credit Card,Seller A,6.56,22.05,Note 3,20,0.0,0.0,1.0,0
9715-978,2024-08-20,20:39:04.688817,Magazine,19,3.26,61.94,Credit Card,Seller D,5.74,9.91,Note 2,100,0.0,0.0,1.0,0
6629-384,2024-08-16,20:39:04.688817,Beer,13,9.84,127.92,Bank Transfer,Seller C,25.19,20.47,Note 1,35,0.0,1.0,0.0,0
5960-589,2024-08-02,20:39:04.688817,Cookies,14,5.49,76.86,Bank Transfer,Seller C,5.44,12.3,Note 3,16,0.0,0.0,0.0,0
2373-689,2024-07-17,20:39:04.688817,Toilet Paper,17,4.04,68.68,Credit Card,Seller D,2.22,10.99,Note 2,49,0.0,0.0,1.0,0
1830-406,2024-08-12,20:39:04.704446,Camel,20,17.0,340.0,PayPal,Seller D,3.21,9.28,Note 4,14,1.0,0.0,0.0,0
2399-359,2024-08-13,20:39:04.704446,Cigarette Lighter,12,12.0,144.0,Cash,Seller A,14.96,12.9,Note 2,45,0.0,0.0,1.0,0
9557-444,2024-08-26,20:39:04.704446,Magazine,3,1.27,3.81,Cash,Seller D,1.14,0.61,Note 3,5,0.0,0.0,1.0,0
5791-990,2024-07-05,20:39:04.704446,Lucky Strike,11,11.0,121.0,Bank Transfer,Seller B,10.31,7.04,Note 4,1,1.0,0.0,0.0,0
5103-789,2024-08-18,20:39:04.704446,Water,10,11.02,110.2,PayPal,Seller C,1.24,17.63,Note 1,60,0.0,1.0,0.0,0
7634-895,2024-07-16,20:39:04.704446,Cigarette Lighter,13,12.0,156.0,Bank Transfer,Seller C,20.15,22.03,Note 2,58,0.0,0.0,1.0,0
1360-698,2024-07-28,20:39:04.704446,Candies,1,12.56,12.56,Bank Transfer,Seller D,0.8,2.01,Note 3,79,0.0,0.0,0.0,0
6049-756,2024-07-31,20:39:04.704446,Water,1,11.11,11.11,Credit Card,Seller D,2.3,1.78,Note 1,67,0.0,1.0,0.0,0
7233-890,2024-07-13,20:39:04.704446,Lucky Strike,7,11.0,77.0,Cash,Seller B,5.6,9.95,Note 4,83,1.0,0.0,0.0,0
5021-825,2024-07-07,20:39:04.720067,Juice,19,8.02,152.38,Credit Card,Seller B,1.32,24.38,Note 1,78,0.0,1.0,0.0,0
4098-478,2024-08-26,20:39:04.720067,Marlboro,7,13.0,91.0,Cash,Seller D,5.14,8.95,Note 1,84,1.0,0.0,0.0,0
6411-955,2024-07-12,20:39:04.720067,Chocolate,2,11.24,22.48,Cash,Seller B,3.66,3.6,Note 3,20,0.0,0.0,0.0,0
1001-393,2024-08-22,20:39:04.720067,Lucky Strike,6,11.0,66.0,Bank Transfer,Seller A,1.18,12.14,Note 1,60,1.0,0.0,0.0,0
2211-665,2024-07-02,20:39:04.720067,Toilet Paper,5,17.72,88.6,Bank Transfer,Seller A,1.41,14.18,Note 4,18,0.0,0.0,1.0,0
5759-752,2024-07-21,20:39:04.720067,Juice,14,18.78,262.92,Bank Transfer,Seller C,26.3,42.07,Note 2,19,0.0,1.0,0.0,0
6003-691,2024-07-09,20:39:04.720067,Magazine,8,17.72,141.76,Credit Card,Seller D,32.3,22.68,Note 3,12,0.0,0.0,1.0,0
4963-141,2024-08-21,20:39:04.720067,Candies,6,5.33,31.98,Cash,Seller A,4.11,5.12,Note 4,88,0.0,0.0,0.0,0
7681-113,2024-07-02,20:39:04.735692,Toilet Paper,9,2.73,24.57,PayPal,Seller D,2.22,3.93,Note 1,26,0.0,0.0,1.0,0
5091-393,2024-07-27,20:39:04.735692,Chocolate,5,9.2,46.0,Bank Transfer,Seller D,10.99,7.36,Note 2,86,0.0,0.0,0.0,0
5732-611,2024-07-09,20:39:04.735692,Lucky Strike,13,11.0,143.0,Bank Transfer,Seller A,1.69,2.95,Note 1,76,1.0,0.0,0.0,0
2505-185,2024-07-18,20:39:04.735692,Camel,13,17.0,221.0,PayPal,Seller D,0.95,4.28,Note 4,52,1.0,0.0,0.0,0
6252-926,2024-07-09,20:39:04.735692,Chocolate,16,3.32,53.12,Credit Card,Seller A,11.8,8.5,Note 4,12,0.0,0.0,0.0,0
2189-265,2024-07-17,20:39:04.735692,Lucky Strike,12,11.0,132.0,Credit Card,Seller D,40.11,24.29,Note 3,91,1.0,0.0,0.0,0
7011-270,2024-08-26,20:39:04.735692,Cookies,20,19.13,382.6,Cash,Seller D,88.99,61.22,Note 3,56,0.0,0.0,0.0,0
5578-924,2024-08-30,20:39:04.735692,Water,19,9.52,180.88,Bank Transfer,Seller D,15.98,28.94,Note 3,45,0.0,1.0,0.0,0
8701-283,2024-07-08,20:39:04.735692,Cookies,12,4.75,57.0,Credit Card,Seller B,13.54,9.12,Note 4,74,0.0,0.0,0.0,0
5044-658,2024-07-22,20:39:04.751313,Toilet Paper,11,14.63,160.93,Bank Transfer,Seller A,42.34,25.75,Note 3,100,0.0,0.0,1.0,0
7722-928,2024-08-27,20:39:04.751313,Candies,6,10.29,61.74,PayPal,Seller B,12.36,9.88,Note 1,25,0.0,0.0,0.0,0
2221-765,2024-07-02,20:39:04.751313,Toilet Paper,13,15.09,196.17,Bank Transfer,Seller C,0.27,31.39,Note 4,16,0.0,0.0,1.0,0
6848-888,2024-08-29,20:39:04.751313,Water,20,15.03,300.6,PayPal,Seller A,70.93,48.1,Note 4,44,0.0,1.0,0.0,0
8616-784,2024-08-12,20:39:04.751313,Chocolate,12,9.16,109.92,Bank Transfer,Seller A,21.85,17.59,Note 4,94,0.0,0.0,0.0,0
5697-302,2024-07-12,20:39:04.751313,Marlboro,6,13.0,78.0,Cash,Seller B,3.02,16.5,Note 4,16,1.0,0.0,0.0,0
6570-363,2024-07-26,20:39:04.751313,Marlboro,13,13.0,169.0,Cash,Seller C,1.83,13.79,Note 3,29,1.0,0.0,0.0,0
1006-699,2024-08-09,20:39:04.751313,Marlboro,1,13.0,13.0,PayPal,Seller A,1.61,1.75,Note 4,60,1.0,0.0,0.0,0
7736-925,2024-07-21,20:39:04.751313,Marlboro,19,13.0,247.0,Cash,Seller D,25.97,29.18,Note 1,21,1.0,0.0,0.0,0
6442-443,2024-08-16,20:39:04.766929,Beer,14,19.41,271.74,Bank Transfer,Seller A,45.01,43.48,Note 2,28,0.0,1.0,0.0,0
4132-937,2024-08-04,20:39:04.766929,Beer,12,13.46,161.52,PayPal,Seller A,20.93,25.84,Note 2,13,0.0,1.0,0.0,0
1274-493,2024-07-03,20:39:04.766929,Magazine,6,9.86,59.16,Credit Card,Seller A,8.77,9.47,Note 2,15,0.0,0.0,1.0,0
9441-253,2024-07-04,20:39:04.766929,Toilet Paper,16,7.35,117.6,Credit Card,Seller A,25.47,18.82,Note 3,73,0.0,0.0,1.0,0
3435-205,2024-07-14,20:39:04.766929,Camel,19,17.0,323.0,Bank Transfer,Seller A,19.5,47.85,Note 4,58,1.0,0.0,0.0,0
3524-110,2024-08-18,20:39:04.766929,Cigarette Lighter,20,12.0,240.0,PayPal,Seller A,1.0,3.9,Note 1,44,0.0,0.0,1.0,0
7266-873,2024-08-08,20:39:04.766929,Candies,1,14.57,14.57,Cash,Seller A,2.63,2.33,Note 3,51,0.0,0.0,0.0,0
7889-591,2024-07-09,20:39:04.766929,Beer,4,13.63,54.52,Cash,Seller A,6.97,8.72,Note 3,91,0.0,1.0,0.0,0
9033-111,2024-07-31,20:39:04.766929,Lucky Strike,19,11.0,209.0,Credit Card,Seller D,15.15,14.9,Note 1,26,1.0,0.0,0.0,0
5278-508,2024-07-05,20:39:04.782563,Cookies,11,6.19,68.09,Credit Card,Seller D,9.87,10.89,Note 3,1,0.0,0.0,0.0,0
1685-257,2024-08-13,20:39:04.782563,Water,7,11.02,77.14,Cash,Seller D,19.54,12.34,Note 3,45,0.0,1.0,0.0,0
6757-233,2024-08-03,20:39:04.782563,Cookies,20,10.89,217.8,Cash,Seller D,28.97,34.85,Note 3,7,0.0,0.0,0.0,0
9970-578,2024-07-23,20:39:04.782563,Beer,12,6.14,73.68,PayPal,Seller A,0.73,11.79,Note 3,91,0.0,1.0,0.0,0
8010-683,2024-07-05,20:39:04.782563,Chocolate,2,2.82,5.64,Cash,Seller A,1.45,0.9,Note 4,8,0.0,0.0,0.0,0
4930-896,2024-07-11,20:39:04.782563,Toilet Paper,12,8.2,98.4,Bank Transfer,Seller B,16.67,15.74,Note 3,92,0.0,0.0,1.0,0
9245-583,2024-07-02,20:39:04.798194,Lucky Strike,19,11.0,209.0,Bank Transfer,Seller B,64.39,54.57,Note 2,64,1.0,0.0,0.0,0
9555-917,2024-08-26,20:39:04.798194,Water,11,11.98,131.78,Cash,Seller A,29.06,21.08,Note 4,88,0.0,1.0,0.0,0
1859-846,2024-08-23,20:39:04.798194,Toilet Paper,5,2.06,10.3,Credit Card,Seller A,1.68,1.65,Note 2,31,0.0,0.0,1.0,0
2552-272,2024-07-04,20:39:04.798194,Cookies,4,10.56,42.24,PayPal,Seller B,3.66,6.76,Note 3,87,0.0,0.0,0.0,0
9840-442,2024-07-19,20:39:04.798194,Chocolate,7,10.19,71.33,PayPal,Seller D,1.15,11.41,Note 4,4,0.0,0.0,0.0,0
1189-888,2024-08-30,20:39:04.798194,Marlboro,10,13.0,130.0,Credit Card,Seller D,19.29,22.53,Note 2,45,1.0,0.0,0.0,0
2977-832,2024-08-13,20:39:04.798194,Cigarette Lighter,18,12.0,216.0,Cash,Seller B,37.0,38.97,Note 2,20,0.0,0.0,1.0,0
1912-361,2024-07-30,20:39:04.798194,Camel,2,17.0,34.0,Bank Transfer,Seller B,2.91,3.1,Note 2,7,1.0,0.0,0.0,0
6514-354,2024-07-09,20:39:04.798194,Cigarette Lighter,6,12.0,72.0,Cash,Seller A,2.56,2.03,Note 2,92,0.0,0.0,1.0,0
8378-342,2024-08-16,20:39:04.813818,Juice,8,2.17,17.36,PayPal,Seller D,2.63,2.78,Note 2,92,0.0,1.0,0.0,0
6950-689,2024-08-27,20:39:04.813818,Cookies,2,10.89,21.78,Credit Card,Seller C,2.44,3.48,Note 2,55,0.0,0.0,0.0,0
1236-884,2024-08-26,20:39:04.813818,Water,4,12.66,50.64,PayPal,Seller B,13.44,8.1,Note 2,12,0.0,1.0,0.0,0
8768-803,2024-08-30,20:39:04.813818,Beer,14,15.57,217.98,Credit Card,Seller C,25.07,34.88,Note 1,85,0.0,1.0,0.0,0
4898-185,2024-08-15,20:39:04.813818,Soda,20,2.9,58.0,PayPal,Seller C,9.15,9.28,Note 3,21,0.0,1.0,0.0,0
5573-996,2024-07-15,20:39:04.813818,Beer,20,14.72,294.4,Cash,Seller D,80.62,47.1,Note 4,45,0.0,1.0,0.0,0
2277-135,2024-08-23,20:39:04.813818,Soda,14,16.72,234.08,Credit Card,Seller C,34.3,37.45,Note 4,27,0.0,1.0,0.0,0
6760-705,2024-08-14,20:39:04.813818,Magazine,16,1.27,20.32,PayPal,Seller A,1.07,3.25,Note 2,74,0.0,0.0,1.0,0
2793-114,2024-08-30,20:39:04.813818,Magazine,17,14.48,246.16,Cash,Seller B,61.69,39.39,Note 4,63,0.0,0.0,1.0,0
1657-496,2024-08-21,20:39:04.829440,Magazine,5,18.13,90.65,PayPal,Seller D,26.76,14.5,Note 1,18,0.0,0.0,1.0,0
9649-659,2024-08-25,20:39:04.829440,Cigarette Lighter,11,12.0,132.0,Bank Transfer,Seller A,7.35,26.36,Note 3,76,0.0,0.0,1.0,0
7681-276,2024-07-02,20:39:04.829440,Lucky Strike,12,11.0,132.0,PayPal,Seller D,43.8,29.7,Note 3,21,1.0,0.0,0.0,0
2453-443,2024-08-26,20:39:04.829440,Camel,16,17.0,272.0,Bank Transfer,Seller B,58.16,39.68,Note 1,64,1.0,0.0,0.0,0
6621-326,2024-07-24,20:39:04.829440,Camel,13,17.0,221.0,Cash,Seller C,4.64,6.03,Note 4,31,1.0,0.0,0.0,0
6917-352,2024-08-18,20:39:04.829440,Beer,7,1.57,10.99,Cash,Seller B,2.07,1.76,Note 4,23,0.0,1.0,0.0,0
7621-590,2024-07-20,20:39:04.829440,Water,2,15.05,30.1,Cash,Seller C,3.1,4.82,Note 2,42,0.0,1.0,0.0,0
3799-533,2024-08-28,20:39:04.829440,Cigarette Lighter,9,12.0,108.0,Credit Card,Seller D,16.78,11.87,Note 4,47,0.0,0.0,1.0,0
8442-103,2024-08-01,20:39:04.845067,Beer,19,1.45,27.55,Bank Transfer,Seller D,6.24,4.41,Note 1,27,0.0,1.0,0.0,0
6657-550,2024-07-14,20:39:04.845067,Cookies,1,11.66,11.66,Credit Card,Seller C,1.15,1.87,Note 2,86,0.0,0.0,0.0,0
9225-807,2024-07-30,20:39:04.845067,Magazine,2,7.4,14.8,Cash,Seller A,3.68,2.37,Note 2,27,0.0,0.0,1.0,0
5477-660,2024-07-20,20:39:04.845067,Soda,20,13.83,276.6,Credit Card,Seller A,45.65,44.26,Note 3,20,0.0,1.0,0.0,0
4025-734,2024-08-23,20:39:04.845067,Lucky Strike,17,11.0,187.0,Bank Transfer,Seller B,9.02,54.18,Note 3,21,1.0,0.0,0.0,0
5942-497,2024-07-25,20:39:04.845067,Chocolate,10,10.19,101.9,PayPal,Seller C,20.01,16.3,Note 3,15,0.0,0.0,0.0,0
9556-176,2024-07-21,20:39:04.845067,Magazine,17,15.4,261.8,PayPal,Seller A,70.23,41.89,Note 3,59,0.0,0.0,1.0,0
1317-419,2024-08-27,20:39:04.845067,Magazine,15,8.67,130.05,PayPal,Seller C,14.31,20.81,Note 3,65,0.0,0.0,1.0,0
8026-576,2024-07-04,20:39:04.845067,Camel,4,17.0,68.0,Bank Transfer,Seller D,0.74,1.28,Note 4,42,1.0,0.0,0.0,0
5145-798,2024-07-27,20:39:04.845067,Candies,16,15.62,249.92,Bank Transfer,Seller C,68.09,39.99,Note 2,7,0.0,0.0,0.0,0
1934-484,2024-07-28,20:39:04.860693,Marlboro,12,13.0,156.0,PayPal,Seller B,49.4,28.26,Note 2,37,1.0,0.0,0.0,0
6496-799,2024-07-15,20:39:04.860693,Water,4,8.52,34.08,Credit Card,Seller A,5.7,5.45,Note 1,60,0.0,1.0,0.0,0
2673-359,2024-08-07,20:39:04.860693,Lucky Strike,7,11.0,77.0,PayPal,Seller D,4.57,4.05,Note 2,23,1.0,0.0,0.0,0
3320-566,2024-07-15,20:39:04.860693,Cookies,3,5.79,17.37,PayPal,Seller D,2.74,2.78,Note 4,28,0.0,0.0,0.0,0
8354-989,2024-07-14,20:39:04.860693,Cookies,5,19.88,99.4,PayPal,Seller C,14.41,15.9,Note 4,26,0.0,0.0,0.0,0
1358-574,2024-08-30,20:39:04.860693,Lucky Strike,18,11.0,198.0,Credit Card,Seller A,13.98,11.95,Note 4,40,1.0,0.0,0.0,0
2898-187,2024-07-23,20:39:04.860693,Candies,6,14.75,88.5,PayPal,Seller B,6.66,14.16,Note 3,12,0.0,0.0,0.0,0
1067-861,2024-08-30,20:39:04.860693,Marlboro,16,13.0,208.0,PayPal,Seller C,0.72,13.93,Note 4,90,1.0,0.0,0.0,0
6933-799,2024-07-19,20:39:04.860693,Cookies,13,1.72,22.36,Cash,Seller C,4.97,3.58,Note 3,36,0.0,0.0,0.0,0
