Invoice Number,Date Sale,Time Sale,Product,Category,Quantity,Unit Price,Total Sale,Payment Method,Seller,Discounts,Taxes,Notes,Remaining Stock
3731-504,2024-07-09,20:39:04.595070,Juice,Drinks,12,8.57,102.84,Bank Transfer,Seller B,28.02,16.45,Note 1,91
7143-477,2024-08-28,20:39:04.595070,Lucky Strike,Cigarettes,19,11,209,Cash,Seller A,18.79,10.76,Note 3,64
4593-164,2024-08-04,20:39:04.610693,Juice,Drinks,3,18.79,56.37,Credit Card,Seller D,8.67,9.02,Note 2,1
7706-341,2024-08-01,20:39:04.610693,Camel,Cigarettes,19,17,323,Bank Transfer,Seller A,4.62,3.4,Note 3,65
6104-629,2024-08-06,20:39:04.610693,Magazine,Others,18,8.45,152.1,Cash,Seller B,0.02,24.34,Note 3,38
6994-443,2024-08-10,20:39:04.610693,Camel,Cigarettes,6,17,102,Cash,Seller D,0.26,9.78,Note 1,3
9912-684,2024-08-07,20:39:04.610693,Cookies,Candies,9,17.13,154.17,Credit Card,Seller A,33.51,24.67,Note 3,92
4613-165,2024-08-07,20:39:04.610693,Juice,Drinks,8,8.02,64.16,Cash,Seller A,3.95,10.27,Note 1,47
8354-962,2024-07-03,20:39:04.610693,Camel,Cigarettes,3,17,51,Bank Transfer,Seller D,1.96,8,Note 2,64
9534-754,2024-07-20,20:39:04.610693,Chocolate,Candies,8,9.57,76.56,Bank Transfer,Seller B,0.63,12.25,Note 4,21
6321-452,2024-08-03,20:39:04.610693,Magazine,Others,5,16.67,83.35,Cash,Seller A,14.15,13.34,Note 1,88
5181-498,2024-07-26,20:39:04.626313,Soda,Drinks,9,11.46,103.14,Bank Transfer,Seller A,20.86,16.5,Note 4,89
2568-639,2024-08-17,20:39:04.626313,Marlboro,Cigarettes,19,13,247,Cash,Seller D,31.29,22.92,Note 4,66
4799-605,2024-07-23,20:39:04.626313,Beer,Drinks,8,10.81,86.48,Bank Transfer,Seller A,6.46,13.84,Note 2,98
6903-545,2024-08-16,20:39:04.626313,Cookies,Candies,9,8.85,79.65,Bank Transfer,Seller B,7.89,12.74,Note 2,56
4760-471,2024-08-26,20:39:04.626313,Toilet Paper,Others,20,14.82,296.4,Credit Card,Seller C,56.52,47.42,Note 1,22
8016-230,2024-08-08,20:39:04.626313,Marlboro,Cigarettes,14,13,182,Credit Card,Seller B,4.69,31.99,Note 3,57
2252-997,2024-07-31,20:39:04.626313,Soda,Drinks,1,4.22,4.22,Bank Transfer,Seller D,0.89,0.68,Note 4,74
1705-572,2024-08-28,20:39:04.626313,Cookies,Candies,1,19.08,19.08,Credit Card,Seller A,0.91,3.05,Note 4,61
2041-623,2024-07-05,20:39:04.626313,Chocolate,Candies,7,10.24,71.68,PayPal,Seller C,10.01,11.47,Note 2,80
6430-669,2024-08-15,20:39:04.641937,Magazine,Others,5,7.82,39.1,Credit Card,Seller D,5.76,6.26,Note 4,29
4645-280,2024-08-29,20:39:04.641937,Lucky Strike,Cigarettes,16,11,176,PayPal,Seller B,4.45,9.11,Note 2,87
2940-803,2024-07-10,20:39:04.641937,Candies,Candies,6,6.05,36.3,Cash,Seller B,4.91,5.81,Note 1,37
8516-539,2024-07-30,20:39:04.641937,Water,Drinks,2,19.3,38.6,Bank Transfer,Seller B,7.33,6.18,Note 1,9
9549-594,2024-07-27,20:39:04.641937,Lucky Strike,Cigarettes,7,11,77,PayPal,Seller A,10.93,7.04,Note 2,3
6005-989,2024-07-22,20:39:04.641937,Lucky Strike,Cigarettes,19,11,209,Cash,Seller A,8.12,14.74,Note 2,18
9768-833,2024-08-13,20:39:04.641937,Candies,Candies,15,1.47,22.05,Bank Transfer,Seller B,1.77,3.53,Note 3,56
1042-220,2024-07-15,20:39:04.641937,Marlboro,Cigarettes,13,13,169,Credit Card,Seller D,4.88,22.73,Note 3,8
2971-189,2024-07-09,20:39:04.641937,Chocolate,Candies,2,8.08,16.16,PayPal,Seller B,4.72,2.59,Note 2,13
1294-925,2024-07-20,20:39:04.657567,Marlboro,Cigarettes,20,13,260,Credit Card,Seller A,5.74,36.8,Note 3,80
2803-690,2024-08-30,20:39:04.657567,Lucky Strike,Cigarettes,3,11,33,Bank Transfer,Seller C,0.24,0.75,Note 2,40
1553-133,2024-07-12,20:39:04.657567,Magazine,Others,8,8.29,66.32,Cash,Seller C,0.16,10.61,Note 4,19
7105-933,2024-07-25,20:39:04.657567,Chocolate,Candies,16,15.57,249.12,PayPal,Seller D,18.41,39.86,Note 1,15
2475-602,2024-07-17,20:39:04.657567,Candies,Candies,13,18.1,235.3,Bank Transfer,Seller A,34.98,37.65,Note 4,98
9269-289,2024-07-23,20:39:04.657567,Chewing gums,Candies,11,10.47,115.17,Credit Card,Seller A,18.16,18.43,Note 4,92
3736-131,2024-07-21,20:39:04.657567,Lucky Strike,Cigarettes,10,11,110,Credit Card,Seller B,11.84,30.98,Note 1,72
4765-352,2024-08-29,20:39:04.657567,Candies,Candies,19,6.1,115.9,Cash,Seller B,25.98,18.54,Note 2,88
1701-818,2024-08-07,20:39:04.657567,Lucky Strike,Cigarettes,19,11,209,Bank Transfer,Seller C,1.81,10.76,Note 4,60
7557-182,2024-08-27,20:39:04.673192,Chocolate,Candies,4,15.43,61.72,Credit Card,Seller D,15.86,9.88,Note 1,60
6813-316,2024-08-10,20:39:04.673192,Cookies,Candies,13,11.66,151.58,Cash,Seller A,13.51,24.25,Note 2,86
4622-712,2024-08-08,20:39:04.673192,Marlboro,Cigarettes,18,13,234,Bank Transfer,Seller B,30.46,35.28,Note 2,98
4835-448,2024-08-02,20:39:04.673192,Lucky Strike,Cigarettes,14,11,154,Bank Transfer,Seller C,6.46,3.58,Note 2,20
1192-183,2024-07-23,20:39:04.673192,Magazine,Others,9,7.82,70.38,Bank Transfer,Seller A,11.93,11.26,Note 3,39
4254-819,2024-08-16,20:39:04.673192,Chocolate,Candies,7,9.48,66.36,Bank Transfer,Seller C,8,10.62,Note 3,86
8616-290,2024-08-14,20:39:04.673192,Soda,Drinks,8,2.84,22.72,PayPal,Seller B,1,3.64,Note 3,85
5529-235,2024-07-20,20:39:04.673192,Chocolate,Candies,5,15.57,77.85,Cash,Seller D,11.08,12.46,Note 3,99
5331-313,2024-07-08,20:39:04.673192,Marlboro,Cigarettes,11,13,143,Cash,Seller B,38.95,33.7,Note 4,16
6391-454,2024-07-16,20:39:04.688817,Chewing gums,Candies,19,19.57,371.83,Bank Transfer,Seller C,46.4,59.49,Note 1,50
1796-775,2024-07-26,20:39:04.688817,Chocolate,Candies,2,8.29,16.58,PayPal,Seller A,1.29,2.65,Note 1,34
6671-972,2024-07-01,20:39:04.688817,Chewing gums,Candies,16,2.98,47.68,Cash,Seller C,1.49,7.63,Note 2,79
8607-462,2024-07-25,20:39:04.688817,Cookies,Candies,6,14.39,86.34,Credit Card,Seller A,13.77,13.81,Note 4,58
7266-518,2024-07-08,20:39:04.688817,Magazine,Others,7,19.69,137.83,Credit Card,Seller A,6.56,22.05,Note 3,20
9715-978,2024-08-20,20:39:04.688817,Magazine,Others,19,3.26,61.94,Credit Card,Seller D,5.74,9.91,Note 2,100
6629-384,2024-08-16,20:39:04.688817,Beer,Drinks,13,9.84,127.92,Bank Transfer,Seller C,25.19,20.47,Note 1,35
5960-589,2024-08-02,20:39:04.688817,Cookies,Candies,14,5.49,76.86,Bank Transfer,Seller C,5.44,12.3,Note 3,16
2373-689,2024-07-17,20:39:04.688817,Toilet Paper,Others,17,4.04,68.68,Credit Card,Seller D,2.22,10.99,Note 2,49
1830-406,2024-08-12,20:39:04.704446,Camel,Cigarettes,20,17,340,PayPal,Seller D,3.21,9.28,Note 4,14
2399-359,2024-08-13,20:39:04.704446,Cigarette Lighter,Others,12,12,144,Cash,Seller A,14.96,12.9,Note 2,45
9557-444,2024-08-26,20:39:04.704446,Magazine,Others,3,1.27,3.81,Cash,Seller D,1.14,0.61,Note 3,5
5791-990,2024-07-05,20:39:04.704446,Lucky Strike,Cigarettes,11,11,121,Bank Transfer,Seller B,10.31,7.04,Note 4,1
5103-789,2024-08-18,20:39:04.704446,Water,Drinks,10,11.02,110.2,PayPal,Seller C,1.24,17.63,Note 1,60
7634-895,2024-07-16,20:39:04.704446,Cigarette Lighter,Others,13,12,156,Bank Transfer,Seller C,20.15,22.03,Note 2,58
1360-698,2024-07-28,20:39:04.704446,Candies,Candies,1,12.56,12.56,Bank Transfer,Seller D,0.8,2.01,Note 3,79
6049-756,2024-07-31,20:39:04.704446,Water,Drinks,1,11.11,11.11,Credit Card,Seller D,2.3,1.78,Note 1,67
7233-890,2024-07-13,20:39:04.704446,Lucky Strike,Cigarettes,7,11,77,Cash,Seller B,5.6,9.95,Note 4,83
5021-825,2024-07-07,20:39:04.720067,Juice,Drinks,19,8.02,152.38,Credit Card,Seller B,1.32,24.38,Note 1,78
4098-478,2024-08-26,20:39:04.720067,Marlboro,Cigarettes,7,13,91,Cash,Seller D,5.14,8.95,Note 1,84
6411-955,2024-07-12,20:39:04.720067,Chocolate,Candies,2,11.24,22.48,Cash,Seller B,3.66,3.6,Note 3,20
1001-393,2024-08-22,20:39:04.720067,Lucky Strike,Cigarettes,6,11,66,Bank Transfer,Seller A,1.18,12.14,Note 1,60
2211-665,2024-07-02,20:39:04.720067,Toilet Paper,Others,5,17.72,88.6,Bank Transfer,Seller A,1.41,14.18,Note 4,18
5759-752,2024-07-21,20:39:04.720067,Juice,Drinks,14,18.78,262.92,Bank Transfer,Seller C,26.3,42.07,Note 2,19
6003-691,2024-07-09,20:39:04.720067,Magazine,Others,8,17.72,141.76,Credit Card,Seller D,32.3,22.68,Note 3,12
4963-141,2024-08-21,20:39:04.720067,Candies,Candies,6,5.33,31.98,Cash,Seller A,4.11,5.12,Note 4,88
7681-113,2024-07-02,20:39:04.735692,Toilet Paper,Others,9,2.73,24.57,PayPal,Seller D,2.22,3.93,Note 1,26
5091-393,2024-07-27,20:39:04.735692,Chocolate,Candies,5,9.2,46,Bank Transfer,Seller D,10.99,7.36,Note 2,86
5732-611,2024-07-09,20:39:04.735692,Lucky Strike,Cigarettes,13,11,143,Bank Transfer,Seller A,1.69,2.95,Note 1,76
2505-185,2024-07-18,20:39:04.735692,Camel,Cigarettes,13,17,221,PayPal,Seller D,0.95,4.28,Note 4,52
6252-926,2024-07-09,20:39:04.735692,Chocolate,Candies,16,3.32,53.12,Credit Card,Seller A,11.8,8.5,Note 4,12
2189-265,2024-07-17,20:39:04.735692,Lucky Strike,Cigarettes,12,11,132,Credit Card,Seller D,40.11,24.29,Note 3,91
7011-270,2024-08-26,20:39:04.735692,Cookies,Candies,20,19.13,382.6,Cash,Seller D,88.99,61.22,Note 3,56
5578-924,2024-08-30,20:39:04.735692,Water,Drinks,19,9.52,180.88,Bank Transfer,Seller D,15.98,28.94,Note 3,45
8701-283,2024-07-08,20:39:04.735692,Cookies,Candies,12,4.75,57,Credit Card,Seller B,13.54,9.12,Note 4,74
5044-658,2024-07-22,20:39:04.751313,Toilet Paper,Others,11,14.63,160.93,Bank Transfer,Seller A,42.34,25.75,Note 3,100
7722-928,2024-08-27,20:39:04.751313,Candies,Candies,6,10.29,61.74,PayPal,Seller B,12.36,9.88,Note 1,25
2221-765,2024-07-02,20:39:04.751313,Toilet Paper,Others,13,15.09,196.17,Bank Transfer,Seller C,0.27,31.39,Note 4,16
6848-888,2024-08-29,20:39:04.751313,Water,Drinks,20,15.03,300.6,PayPal,Seller A,70.93,48.1,Note 4,44
8616-784,2024-08-12,20:39:04.751313,Chocolate,Candies,12,9.16,109.92,Bank Transfer,Seller A,21.85,17.59,Note 4,94
5697-302,2024-07-12,20:39:04.751313,Marlboro,Cigarettes,6,13,78,Cash,Seller B,3.02,16.5,Note 4,16
6570-363,2024-07-26,20:39:04.751313,Marlboro,Cigarettes,13,13,169,Cash,Seller C,1.83,13.79,Note 3,29
1006-699,2024-08-09,20:39:04.751313,Marlboro,Cigarettes,1,13,13,PayPal,Seller A,1.61,1.75,Note 4,60
7736-925,2024-07-21,20:39:04.751313,Marlboro,Cigarettes,19,13,247,Cash,Seller D,25.97,29.18,Note 1,21
6442-443,2024-08-16,20:39:04.766929,Beer,Drinks,14,19.41,271.74,Bank Transfer,Seller A,45.01,43.48,Note 2,28
4132-937,2024-08-04,20:39:04.766929,Beer,Drinks,12,13.46,161.52,PayPal,Seller A,20.93,25.84,Note 2,13
1274-493,2024-07-03,20:39:04.766929,Magazine,Others,6,9.86,59.16,Credit Card,Seller A,8.77,9.47,Note 2,15
9441-253,2024-07-04,20:39:04.766929,Toilet Paper,Others,16,7.35,117.6,Credit Card,Seller A,25.47,18.82,Note 3,73
3435-205,2024-07-14,20:39:04.766929,Camel,Cigarettes,19,17,323,Bank Transfer,Seller A,19.5,47.85,Note 4,58
3524-110,2024-08-18,20:39:04.766929,Cigarette Lighter,Others,20,12,240,PayPal,Seller A,1,3.9,Note 1,44
7266-873,2024-08-08,20:39:04.766929,Candies,Candies,1,14.57,14.57,Cash,Seller A,2.63,2.33,Note 3,51
7889-591,2024-07-09,20:39:04.766929,Beer,Drinks,4,13.63,54.52,Cash,Seller A,6.97,8.72,Note 3,91
9033-111,2024-07-31,20:39:04.766929,Lucky Strike,Cigarettes,19,11,209,Credit Card,Seller D,15.15,14.9,Note 1,26
5278-508,2024-07-05,20:39:04.782563,Cookies,Candies,11,6.19,68.09,Credit Card,Seller D,9.87,10.89,Note 3,1
1685-257,2024-08-13,20:39:04.782563,Water,Drinks,7,11.02,77.14,Cash,Seller D,19.54,12.34,Note 3,45
6757-233,2024-08-03,20:39:04.782563,Cookies,Candies,20,10.89,217.8,Cash,Seller D,28.97,34.85,Note 3,7
9970-578,2024-07-23,20:39:04.782563,Beer,Drinks,12,6.14,73.68,PayPal,Seller A,0.73,11.79,Note 3,91
8010-683,2024-07-05,20:39:04.782563,Chocolate,Candies,2,2.82,5.64,Cash,Seller A,1.45,0.9,Note 4,8
4930-896,2024-07-11,20:39:04.782563,Toilet Paper,Others,12,8.2,98.4,Bank Transfer,Seller B,16.67,15.74,Note 3,92
9245-583,2024-07-02,20:39:04.798194,Lucky Strike,Cigarettes,19,11,209,Bank Transfer,Seller B,64.39,54.57,Note 2,64
9555-917,2024-08-26,20:39:04.798194,Water,Drinks,11,11.98,131.78,Cash,Seller A,29.06,21.08,Note 4,88
1859-846,2024-08-23,20:39:04.798194,Toilet Paper,Others,5,2.06,10.3,Credit Card,Seller A,1.68,1.65,Note 2,31
2552-272,2024-07-04,20:39:04.798194,Cookies,Candies,4,10.56,42.24,PayPal,Seller B,3.66,6.76,Note 3,87
9840-442,2024-07-19,20:39:04.798194,Chocolate,Candies,7,10.19,71.33,PayPal,Seller D,1.15,11.41,Note 4,4
1189-888,2024-08-30,20:39:04.798194,Marlboro,Cigarettes,10,13,130,Credit Card,Seller D,19.29,22.53,Note 2,45
2977-832,2024-08-13,20:39:04.798194,Cigarette Lighter,Others,18,12,216,Cash,Seller B,37,38.97,Note 2,20
1912-361,2024-07-30,20:39:04.798194,Camel,Cigarettes,2,17,34,Bank Transfer,Seller B,2.91,3.1,Note 2,7
6514-354,2024-07-09,20:39:04.798194,Cigarette Lighter,Others,6,12,72,Cash,Seller A,2.56,2.03,Note 2,92
8378-342,2024-08-16,20:39:04.813818,Juice,Drinks,8,2.17,17.36,PayPal,Seller D,2.63,2.78,Note 2,92
6950-689,2024-08-27,20:39:04.813818,Cookies,Candies,2,10.89,21.78,Credit Card,Seller C,2.44,3.48,Note 2,55
1236-884,2024-08-26,20:39:04.813818,Water,Drinks,4,12.66,50.64,PayPal,Seller B,13.44,8.1,Note 2,12
8768-803,2024-08-30,20:39:04.813818,Beer,Drinks,14,15.57,217.98,Credit Card,Seller C,25.07,34.88,Note 1,85
4898-185,2024-08-15,20:39:04.813818,Soda,Drinks,20,2.9,58,PayPal,Seller C,9.15,9.28,Note 3,21
5573-996,2024-07-15,20:39:04.813818,Beer,Drinks,20,14.72,294.4,Cash,Seller D,80.62,47.1,Note 4,45
2277-135,2024-08-23,20:39:04.813818,Soda,Drinks,14,16.72,234.08,Credit Card,Seller C,34.3,37.45,Note 4,27
6760-705,2024-08-14,20:39:04.813818,Magazine,Others,16,1.27,20.32,PayPal,Seller A,1.07,3.25,Note 2,74
2793-114,2024-08-30,20:39:04.813818,Magazine,Others,17,14.48,246.16,Cash,Seller B,61.69,39.39,Note 4,63
1657-496,2024-08-21,20:39:04.829440,Magazine,Others,5,18.13,90.65,PayPal,Seller D,26.76,14.5,Note 1,18
9649-659,2024-08-25,20:39:04.829440,Cigarette Lighter,Others,11,12,132,Bank Transfer,Seller A,7.35,26.36,Note 3,76
7681-276,2024-07-02,20:39:04.829440,Lucky Strike,Cigarettes,12,11,132,PayPal,Seller D,43.8,29.7,Note 3,21
2453-443,2024-08-26,20:39:04.829440,Camel,Cigarettes,16,17,272,Bank Transfer,Seller B,58.16,39.68,Note 1,64
6621-326,2024-07-24,20:39:04.829440,Camel,Cigarettes,13,17,221,Cash,Seller C,4.64,6.03,Note 4,31
6917-352,2024-08-18,20:39:04.829440,Beer,Drinks,7,1.57,10.99,Cash,Seller B,2.07,1.76,Note 4,23
7621-590,2024-07-20,20:39:04.829440,Water,Drinks,2,15.05,30.1,Cash,Seller C,3.1,4.82,Note 2,42
3799-533,2024-08-28,20:39:04.829440,Cigarette Lighter,Others,9,12,108,Credit Card,Seller D,16.78,11.87,Note 4,47
8442-103,2024-08-01,20:39:04.845067,Beer,Drinks,19,1.45,27.55,Bank Transfer,Seller D,6.24,4.41,Note 1,27
6657-550,2024-07-14,20:39:04.845067,Cookies,Candies,1,11.66,11.66,Credit Card,Seller C,1.15,1.87,Note 2,86
9225-807,2024-07-30,20:39:04.845067,Magazine,Others,2,7.4,14.8,Cash,Seller A,3.68,2.37,Note 2,27
5477-660,2024-07-20,20:39:04.845067,Soda,Drinks,20,13.83,276.6,Credit Card,Seller A,45.65,44.26,Note 3,20
4025-734,2024-08-23,20:39:04.845067,Lucky Strike,Cigarettes,17,11,187,Bank Transfer,Seller B,9.02,54.18,Note 3,21
5942-497,2024-07-25,20:39:04.845067,Chocolate,Candies,10,10.19,101.9,PayPal,Seller C,20.01,16.3,Note 3,15
9556-176,2024-07-21,20:39:04.845067,Magazine,Others,17,15.4,261.8,PayPal,Seller A,70.23,41.89,Note 3,59
1317-419,2024-08-27,20:39:04.845067,Magazine,Others,15,8.67,130.05,PayPal,Seller C,14.31,20.81,Note 3,65
8026-576,2024-07-04,20:39:04.845067,Camel,Cigarettes,4,17,68,Bank Transfer,Seller D,0.74,1.28,Note 4,42
5145-798,2024-07-27,20:39:04.845067,Candies,Candies,16,15.62,249.92,Bank Transfer,Seller C,68.09,39.99,Note 2,7
1934-484,2024-07-28,20:39:04.860693,Marlboro,Cigarettes,12,13,156,PayPal,Seller B,49.4,28.26,Note 2,37
6496-799,2024-07-15,20:39:04.860693,Water,Drinks,4,8.52,34.08,Credit Card,Seller A,5.7,5.45,Note 1,60
2673-359,2024-08-07,20:39:04.860693,Lucky Strike,Cigarettes,7,11,77,PayPal,Seller D,4.57,4.05,Note 2,23
3320-566,2024-07-15,20:39:04.860693,Cookies,Candies,3,5.79,17.37,PayPal,Seller D,2.74,2.78,Note 4,28
8354-989,2024-07-14,20:39:04.860693,Cookies,Candies,5,19.88,99.4,PayPal,Seller C,14.41,15.9,Note 4,26
1358-574,2024-08-30,20:39:04.860693,Lucky Strike,Cigarettes,18,11,198,Credit Card,Seller A,13.98,11.95,Note 4,40
2898-187,2024-07-23,20:39:04.860693,Candies,Candies,6,14.75,88.5,PayPal,Seller B,6.66,14.16,Note 3,12
1067-861,2024-08-30,20:39:04.860693,Marlboro,Cigarettes,16,13,208,PayPal,Seller C,0.72,13.93,Note 4,90
6933-799,2024-07-19,20:39:04.860693,Cookies,Candies,13,1.72,22.36,Cash,Seller C,4.97,3.58,Note 3,36
6989-370,2024-08-30,20:39:04.876316,Lucky Strike,Cigarettes,8,11,88,Bank Transfer,Seller B,13.12,12.53,Note 4,70
2889-209,2024-07-29,20:39:04.876316,Juice,Drinks,5,17.1,85.5,Bank Transfer,Seller A,10.61,13.68,Note 2,46
4785-158,2024-07-27,20:39:04.876316,Toilet Paper,Others,15,6.17,92.55,Cash,Seller D,25.55,14.81,Note 4,38
4693-868,2024-08-18,20:39:04.876316,Cookies,Candies,15,10.81,162.15,Cash,Seller D,18.2,25.94,Note 3,19
2425-885,2024-07-26,20:39:04.876316,Lucky Strike,Cigarettes,17,11,187,Credit Card,Seller B,42.65,41.89,Note 3,44
5332-615,2024-07-07,20:39:04.876316,Marlboro,Cigarettes,20,13,260,PayPal,Seller D,6.56,36.67,Note 3,57
4689-171,2024-08-28,20:39:04.876316,Marlboro,Cigarettes,20,13,260,Credit Card,Seller C,34.47,24.13,Note 4,82
3280-838,2024-07-16,20:39:04.876316,Chewing gums,Candies,2,11.78,23.56,Cash,Seller A,6.86,3.77,Note 4,54
9307-556,2024-07-16,20:39:04.876316,Chewing gums,Candies,17,12.29,208.93,Bank Transfer,Seller C,28.44,33.43,Note 3,66
6756-109,2024-08-09,20:39:04.891941,Marlboro,Cigarettes,1,13,13,PayPal,Seller C,0.61,1.05,Note 4,69
7993-986,2024-08-19,20:39:04.891941,Cookies,Candies,17,10.56,179.52,Cash,Seller B,47.59,28.72,Note 3,99
3950-906,2024-07-30,20:39:04.891941,Chocolate,Candies,1,16.52,16.52,Credit Card,Seller A,2.6,2.64,Note 3,9
1515-328,2024-07-23,20:39:04.891941,Soda,Drinks,11,13.31,146.41,Credit Card,Seller D,32.66,23.43,Note 3,21
3305-965,2024-07-14,20:39:04.891941,Marlboro,Cigarettes,7,13,91,Credit Card,Seller B,13.93,13.46,Note 2,6
3907-275,2024-07-28,20:39:04.891941,Juice,Drinks,5,14.57,72.85,Bank Transfer,Seller A,6.45,11.66,Note 3,32
5189-699,2024-07-08,20:39:04.891941,Toilet Paper,Others,8,4.04,32.32,Bank Transfer,Seller A,4.39,5.17,Note 1,44
1122-643,2024-07-16,20:39:04.891941,Chocolate,Candies,3,16.22,48.66,Bank Transfer,Seller B,3.4,7.79,Note 3,77
1118-715,2024-08-20,20:39:04.891941,Camel,Cigarettes,17,17,289,Bank Transfer,Seller D,8.99,35.99,Note 2,31
4914-585,2024-08-16,20:39:04.891941,Water,Drinks,3,9.69,29.07,PayPal,Seller D,0.71,4.65,Note 2,6
3504-251,2024-08-21,20:39:04.907563,Chocolate,Candies,18,13.29,239.22,PayPal,Seller A,20.05,38.28,Note 4,76
5597-733,2024-08-22,20:39:04.907563,Camel,Cigarettes,2,17,34,Credit Card,Seller A,7.17,4.84,Note 1,58
1749-233,2024-07-26,20:39:04.907563,Magazine,Others,10,15.76,157.6,Cash,Seller A,12.69,25.22,Note 2,48
1283-412,2024-07-15,20:39:04.907563,Magazine,Others,19,15.19,288.61,PayPal,Seller A,63.27,46.18,Note 2,5
1307-978,2024-07-02,20:39:04.907563,Juice,Drinks,20,19.35,387,Credit Card,Seller D,53.66,61.92,Note 2,68
3563-970,2024-07-14,20:39:04.907563,Magazine,Others,13,14.51,188.63,Cash,Seller B,25.7,30.18,Note 3,82
7221-958,2024-07-18,20:39:04.907563,Chocolate,Candies,2,6.53,13.06,Credit Card,Seller D,0.88,2.09,Note 3,2
5744-388,2024-08-01,20:39:04.907563,Camel,Cigarettes,16,17,272,Bank Transfer,Seller B,21.4,35.28,Note 4,12
9812-929,2024-07-20,20:39:04.923187,Camel,Cigarettes,8,17,136,PayPal,Seller A,1.01,6.68,Note 1,0
1121-351,2024-07-24,20:39:04.923187,Beer,Drinks,3,10.74,32.22,PayPal,Seller B,6.28,5.16,Note 2,27
8570-447,2024-08-02,20:39:04.923187,Cigarette Lighter,Others,4,12,48,Cash,Seller D,5.05,3.19,Note 1,44
9509-535,2024-07-31,20:39:04.923187,Water,Drinks,4,11.11,44.44,Cash,Seller C,4.17,7.11,Note 2,49
5839-761,2024-07-09,20:39:04.923187,Water,Drinks,13,12.67,164.71,Cash,Seller C,27.16,26.35,Note 2,68
2783-752,2024-08-25,20:39:04.923187,Magazine,Others,15,16.67,250.05,Bank Transfer,Seller B,10.91,40.01,Note 2,38
5683-660,2024-08-04,20:39:04.923187,Chewing gums,Candies,3,12.29,36.87,Bank Transfer,Seller D,0.78,5.9,Note 4,58
2669-673,2024-07-11,20:39:04.923187,Candies,Candies,11,16.59,182.49,Bank Transfer,Seller C,24.9,29.2,Note 1,80
9252-892,2024-07-30,20:39:04.923187,Cigarette Lighter,Others,6,12,72,PayPal,Seller C,1.55,7.54,Note 1,81
8421-678,2024-08-12,20:39:04.938818,Toilet Paper,Others,16,6.88,110.08,Cash,Seller A,16.98,17.61,Note 2,51
5012-108,2024-08-21,20:39:04.938818,Cigarette Lighter,Others,2,12,24,Bank Transfer,Seller B,2.66,3.4,Note 4,86
7780-614,2024-08-26,20:39:04.938818,Lucky Strike,Cigarettes,16,11,176,Bank Transfer,Seller A,29.59,37.02,Note 3,27
9048-740,2024-07-17,20:39:04.938818,Camel,Cigarettes,6,17,102,Bank Transfer,Seller B,3.55,7.51,Note 2,32
9257-582,2024-08-01,20:39:04.938818,Toilet Paper,Others,16,1.22,19.52,PayPal,Seller C,5.18,3.12,Note 1,91
1883-428,2024-08-11,20:39:04.938818,Juice,Drinks,1,8.57,8.57,Cash,Seller C,0.8,1.37,Note 4,96
1761-700,2024-07-14,20:39:04.938818,Beer,Drinks,20,4.64,92.8,Cash,Seller B,23.67,14.85,Note 4,73
7029-656,2024-07-04,20:39:04.938818,Juice,Drinks,10,11.89,118.9,PayPal,Seller B,10.91,19.02,Note 3,8
5955-721,2024-08-25,20:39:04.938818,Toilet Paper,Others,15,19.28,289.2,Credit Card,Seller D,78.41,46.27,Note 4,59
2100-579,2024-07-18,20:39:04.938818,Toilet Paper,Others,12,10.78,129.36,Credit Card,Seller D,29.03,20.7,Note 2,97
1756-656,2024-07-29,20:39:04.954443,Cigarette Lighter,Others,3,12,36,Credit Card,Seller A,0.81,0.68,Note 2,34
2842-247,2024-07-24,20:39:04.954443,Candies,Candies,9,7.31,65.79,Credit Card,Seller C,2.09,10.53,Note 4,95
2060-215,2024-08-20,20:39:04.954443,Candies,Candies,15,1.07,16.05,Bank Transfer,Seller A,3.02,2.57,Note 2,5
3679-644,2024-08-30,20:39:04.954443,Lucky Strike,Cigarettes,15,11,165,Cash,Seller D,26.02,45.89,Note 2,39
5567-108,2024-08-20,20:39:04.954443,Chocolate,Candies,15,7.08,106.2,Credit Card,Seller C,13.25,16.99,Note 2,91
6423-752,2024-08-02,20:39:04.954443,Cookies,Candies,13,6.17,80.21,Bank Transfer,Seller C,11.2,12.83,Note 1,76
6183-863,2024-07-12,20:39:04.954443,Toilet Paper,Others,3,7.68,23.04,Credit Card,Seller C,4.98,3.69,Note 4,69
1811-451,2024-08-08,20:39:04.954443,Marlboro,Cigarettes,17,13,221,Bank Transfer,Seller A,13.63,33.32,Note 3,9
5932-959,2024-08-28,20:39:04.970068,Toilet Paper,Others,8,19.6,156.8,Credit Card,Seller C,36.54,25.09,Note 3,96
1116-561,2024-08-18,20:39:04.970068,Lucky Strike,Cigarettes,3,11,33,PayPal,Seller C,4.4,2.35,Note 3,52
4334-671,2024-07-23,20:39:04.970068,Beer,Drinks,16,4.52,72.32,Cash,Seller B,0.89,11.57,Note 2,87
3904-398,2024-07-13,20:39:04.970068,Toilet Paper,Others,4,9.78,39.12,Cash,Seller C,7.29,6.26,Note 3,3
2277-465,2024-07-16,20:39:04.970068,Marlboro,Cigarettes,7,13,91,Credit Card,Seller B,25.35,13.71,Note 3,14
9335-610,2024-07-23,20:39:04.970068,Toilet Paper,Others,1,7.35,7.35,Cash,Seller D,1.21,1.18,Note 3,52
